img_id	description
067439	"trolleybus, trolley coach, trackless trolley"
265701	"umbrella"
405851	"disk brake, disc brake"
564432	"cheetah, chetah, Acinonyx jubatus"
022815	"zebra"
324732	"vending machine"
055744	"Indian elephant, Elephas maximus"
075170	"hotdog, hot dog, red hot"
053150	"Indian elephant, Elephas maximus"
207471	"seat belt, seatbelt"
524520	"traffic light, traffic signal, stoplight"
339547	"palace"
195861	"moped"
037789	"desktop computer"
467516	"notebook, notebook computer"
222251	"window shade"
567997	"Chihuahua"
067405	"tub, vat"
567145	"studio couch, day bed"
250129	"breakwater, groin, groyne, mole, bulwark, seawall, jetty"
412681	"space heater"
175541	"hand blower, blow dryer, blow drier, hair dryer, hair drier"
336720	"motor scooter, scooter"
092990	"torch"
194538	"teddy, teddy bear"
501038	"zebra"
046512	"ballplayer, baseball player"
233955	"washbasin, handbasin, washbowl, lavabo, wash-hand basin"
317659	"restaurant, eating house, eating place, eatery"
562741	"mobile home, manufactured home"
513520	"microwave, microwave oven"
177726	"lumbermill, sawmill"
496839	"croquet ball"
029402	"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin"
463019	"park bench"
345835	"kelpie"
445214	"miniskirt, mini"
376746	"passenger car, coach, carriage"
343898	"maypole"
559403	"tub, vat"
239504	"dishwasher, dish washer, dishwashing machine"
485907	"umbrella"
427628	"barbell"
158198	"beacon, lighthouse, beacon light, pharos"
016342	"rifle"
112720	"ballplayer, baseball player"
071011	"projector"
512537	"ski"
180168	"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus"
276218	"clog, geta, patten, sabot"
469648	"teddy, teddy bear"
270460	"umbrella"
496457	"sleeping bag"
495570	"crash helmet"
493272	"sliding door"
144000	"ballplayer, baseball player"
268715	"plate"
473631	"jean, blue jean, denim"
195459	"teddy, teddy bear"
019182	"cheeseburger"
555615	"bow tie, bow-tie, bowtie"
198198	"wardrobe, closet, press"
121358	"quilt, comforter, comfort, puff"
333629	"ski"
095903	"shoe shop, shoe-shop, shoe store"
010405	"dock, dockage, docking facility"
468891	"ram, tup"
319088	"studio couch, day bed"
117230	"bathing cap, swimming cap"
530650	"hotdog, hot dog, red hot"
125836	"seashore, coast, seacoast, sea-coast"
220353	"tow truck, tow car, wrecker"
014855	"bell cote, bell cot"
466499	"starfish, sea star"
361038	"patio, terrace"
121618	"airliner"
025377	"daisy"
025142	"lumbermill, sawmill"
454636	"groom, bridegroom"
295505	"moped"
106639	"candle, taper, wax light"
280589	"umbrella"
171316	"streetcar, tram, tramcar, trolley, trolley car"
101694	"speedboat"
133284	"street sign"
278962	"organ, pipe organ"
335744	"racket, racquet"
537656	"bow tie, bow-tie, bowtie"
447785	"ballplayer, baseball player"
265934	"plate"
127115	"umbrella"
126625	"ice lolly, lolly, lollipop, popsicle"
262662	"parking meter"
461644	"ski"
477658	"ski"
438993	"tub, vat"
055559	"lifeboat"
312802	"ski"
343418	"desk"
310683	"Indian elephant, Elephas maximus"
541496	"backpack, back pack, knapsack, packsack, rucksack, haversack"
154382	"bakery, bakeshop, bakehouse"
421452	"unicycle, monocycle"
545016	"desk"
332863	"pirate, pirate ship"
353090	"vault"
217725	"home theater, home theatre"
072702	"Indian elephant, Elephas maximus"
300383	"racket, racquet"
338882	"Egyptian cat"
050562	"racket, racquet"
066877	"hotdog, hot dog, red hot"
196584	"African elephant, Loxodonta africana"
364358	"standard poodle"
509698	"umbrella"
500032	"moped"
349230	"notebook, notebook computer"
404005	"harmonica, mouth organ, harp, mouth harp"
542255	"vase"
084440	"Indian elephant, Elephas maximus"
150641	"freight car"
160428	"orange"
426911	"microwave, microwave oven"
332739	"pizza, pizza pie"
079143	"washbasin, handbasin, washbowl, lavabo, wash-hand basin"
346435	"trimaran"
446539	"sleeping bag"
091482	"warplane, military plane"
547542	"plunger, plumber's helper"
011697	"street sign"
350657	"balance beam, beam"
198735	"marimba, xylophone"
270362	"meat loaf, meatloaf"
052901	"French bulldog"
371513	"shower curtain"
128715	"desk"
256731	"microwave, microwave oven"
461498	"robin, American robin, Turdus migratorius"
527891	"doormat, welcome mat"
