img_id	description
067439	"trolleybus, trolley coach, trackless trolley"
265701	"umbrella"
405851	"dial telephone, dial phone"
564432	"impala, Aepyceros melampus"
022815	"zebra"
324732	"turnstile"
055744	"Indian elephant, Elephas maximus"
075170	"hotdog, hot dog, red hot"
053150	"Indian elephant, Elephas maximus"
207471	"seat belt, seatbelt"
524520	"traffic light, traffic signal, stoplight"
339547	"horse cart, horse-cart"
195861	"moped"
037789	"monitor"
467516	"laptop, laptop computer"
222251	"marimba, xylophone"
567997	"doormat, welcome mat"
067405	"washbasin, handbasin, washbowl, lavabo, wash-hand basin"
567145	"toilet tissue, toilet paper, bathroom tissue"
250129	"pier"
412681	"microphone, mike"
175541	"bathtub, bathing tub, bath, tub"
336720	"motor scooter, scooter"
092990	"torch"
194538	"teddy, teddy bear"
501038	"zebra"
046512	"maze, labyrinth"
233955	"washbasin, handbasin, washbowl, lavabo, wash-hand basin"
317659	"barbershop"
562741	"freight car"
513520	"cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM"
177726	"lumbermill, sawmill"
496839	"maypole"
029402	"bucket, pail"
463019	"park bench"
345835	"sorrel"
445214	"miniskirt, mini"
376746	"passenger car, coach, carriage"
343898	"stupa, tope"
559403	"washbasin, handbasin, washbowl, lavabo, wash-hand basin"
239504	"dishwasher, dish washer, dishwashing machine"
485907	"umbrella"
427628	"barbell"
158198	"beacon, lighthouse, beacon light, pharos"
016342	"submarine, pigboat, sub, U-boat"
112720	"rapeseed"
071011	"suit, suit of clothes"
512537	"ski"
180168	"greenhouse, nursery, glasshouse"
276218	"confectionery, confectionary, candy store"
469648	"teddy, teddy bear"
270460	"umbrella"
496457	"banjo"
495570	"golfcart, golf cart"
493272	"sliding door"
144000	"football helmet"
268715	"plate"
473631	"vacuum, vacuum cleaner"
195459	"jigsaw puzzle"
019182	"burrito"
555615	"hand blower, blow dryer, blow drier, hair dryer, hair drier"
198198	"projector"
121358	"diaper, nappy, napkin"
333629	"ski"
095903	"folding chair"
010405	"dock, dockage, docking facility"
468891	"ram, tup"
319088	"home theater, home theatre"
117230	"shower cap"
530650	"ice lolly, lolly, lollipop, popsicle"
125836	"groenendael"
220353	"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi"
014855	"beacon, lighthouse, beacon light, pharos"
466499	"goldfish, Carassius auratus"
361038	"yurt"
121618	"airship, dirigible"
025377	"daisy"
025142	"freight car"
454636	"suit, suit of clothes"
295505	"moped"
106639	"candle, taper, wax light"
280589	"snowplow, snowplough"
171316	"trolleybus, trolley coach, trackless trolley"
101694	"breakwater, groin, groyne, mole, bulwark, seawall, jetty"
133284	"street sign"
278962	"organ, pipe organ"
335744	"Chihuahua"
537656	"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour"
447785	"rugby ball"
265934	"plate"
127115	"unicycle, monocycle"
126625	"carousel, carrousel, merry-go-round, roundabout, whirligig"
262662	"odometer, hodometer, mileometer, milometer"
461644	"dogsled, dog sled, dog sleigh"
477658	"bubble"
438993	"pool table, billiard table, snooker table"
055559	"parachute, chute"
312802	"ski"
343418	"soap dispenser"
310683	"Indian elephant, Elephas maximus"
541496	"tractor"
154382	"dining table, board"
421452	"French bulldog"
545016	"desk"
332863	"schooner"
353090	"prison, prison house"
217725	"shoji"
072702	"Indian elephant, Elephas maximus"
300383	"racket, racquet"
338882	"cocker spaniel, English cocker spaniel, cocker"
050562	"racket, racquet"
066877	"dough"
196584	"tusker"
364358	"Irish water spaniel"
509698	"park bench"
500032	"moped"
349230	"waffle iron"
404005	"bathing cap, swimming cap"
542255	"vase"
084440	"African elephant, Loxodonta africana"
150641	"freight car"
160428	"grocery store, grocery, food market, market"
426911	"file, file cabinet, filing cabinet"
332739	"pizza, pizza pie"
079143	"washbasin, handbasin, washbowl, lavabo, wash-hand basin"
346435	"dock, dockage, docking facility"
446539	"pajama, pyjama, pj's, jammies"
091482	"warplane, military plane"
547542	"Siberian husky"
011697	"street sign"
350657	"racket, racquet"
198735	"sax, saxophone"
270362	"burrito"
052901	"ladle"
371513	"shower curtain"
128715	"desk"
256731	"microwave, microwave oven"
